음식점,카테고리,별점,리뷰 수,전화번호,주소,restaurant_id,category_id
마사커피 하양점,카페,1.0,0.0030911901081916537,,경북 경산시 하양읍 대학로 1527,125,60
우유니커피,카페,1.0,0.0061823802163833074,,경북 경산시 하양읍 대경로147길 22,301,60
원할머니보쌈족발 경산하양점,"족발,보쌈",1.0,0.012364760432766615,053-851-6333,경북 경산시 하양읍 대학로295길 14 1층,306,52
류센소 경산하양점,일본식라면,0.8,0.10046367851622875,,경북 경산시 하양읍 서사도리7로 24 1층,119,46
다올,카페/디저트,1.0,0.012364760432766615,,경북 경산시 와촌면 용천길 133-6,70,61
신전떡볶이 하양점,떡볶이,0.52,0.015455950540958269,053-852-6339,경북 경산시 하양읍 문화로 14 1층,245,21
푸라닭치킨 경산진량점,치킨,1.0,0.0015455950540958269,053-851-9206,경북 경산시 진량읍 다문로 85,428,59
땅스부대찌개 경산하양점,"찌개,전골",1.0,0.0401854714064915,010-6293-5090,경북 경산시 하양읍 하양로 87-2 1층,110,55
다방물볕,다방,0.9400000000000001,0.0865533230293663,053-857-8288,경북 경산시 하양읍 무학로 8,69,12
행복한 맛고을,닭요리,0.76,0.00463678516228748,053-201-1239,경북 경산시 하양읍 대곡로 22-3 1층,456,14
피자마루 경산하양점,피자,0.6,0.0015455950540958269,053-851-1082,경북 경산시 하양읍 하양로 27 하양2차우방타운 상가동 105호,433,67
BHC치킨 경산무학점,치킨,0.2,0.0061823802163833074,053-857-9292,경북 경산시 하양읍 서사도리9로 6 102호,6,59
파리바게뜨 경산하양점,"제과,베이커리",0.6,0.0030911901081916537,053-853-8222,경북 경산시 하양읍 하양로 64,419,51
청년다방 대구대학교점,분식,0.2,0.02009273570324575,053-857-3999,경북 경산시 진량읍 대구대로 250,369,25
기영이숯불두마리치킨 경산하양점,치킨,0.2,0.02627511591962906,053-851-0592,경북 경산시 하양읍 대학로 1514 1층,45,59
분식회사,분식,0.6,0.0015455950540958269,053-851-2242,경북 경산시 하양읍 서사도리로 71 경산하양우미링에코포레 상가2동 101호,193,25
나미야,일식집,0.9400000000000001,0.023183925811437404,,경북 경산시 하양읍 대경로147길 14,54,49
서산옥,한식,0.9,0.012364760432766615,053-854-3431,경북 경산시 와촌면 하양로 429 1층,210,68
쩐닭,치킨,0.7,0.0015455950540958269,,경북 경산시 진량읍 대구대로 318-3,364,59
1058면 하양점,일본식라면,0.78,0.0401854714064915,,경북 경산시 하양읍 하양로 63 2층,0,46
카페엘엘엘,카페,0.9800000000000001,0.05564142194744977,,경북 경산시 하양읍 도리길 3,393,60
아웃닭 하양점,한식,1.0,0.023183925811437404,053-853-8292,경북 경산시 하양읍 하양로 26 1층,254,68
지성이해물찜 하양점,"해물,생선",1.0,0.0015455950540958269,070-4067-8259,경북 경산시 하양읍 금송로 56,355,71
더테이블,양식,1.0,0.05409582689335394,053-263-6679,경북 경산시 하양읍 대학로305길 34-2,90,40
프랭크버거 경산하양점,햄버거,0.6,0.017001545595054096,053-854-0406,경북 경산시 하양읍 하양역길 15 1층,431,73
카츠데이,일식,1.0,0.0061823802163833074,010-2135-9032,경북 경산시 진량읍 대구대로 244 1층,388,48
원할머니보쌈족발 경산하양점,한식,1.0,0.012364760432766615,053-851-6333,경북 경산시 하양읍 대학로295길 14 1층,306,68
구포국수 하양본점,국수,0.72,0.023183925811437404,053-857-0606,경북 경산시 하양읍 하양로33길 3 1층,38,8
순살의민족&화평댁닭구이 하양점,닭요리,1.0,0.04327666151468315,0502-5550-3533,경북 경산시 하양읍 대경로 669-6 1층 105호,225,14
컴포즈커피 경산하양우미린점,커피전문점,0.2,0.00927357032457496,070-7717-7544,경북 경산시 하양읍 서사도리4로 5 1층 102호,398,63
일품짬뽕,중식,0.4,0.0030911901081916537,053-852-8002,경북 경산시 하양읍 대경로 763-13,330,54
강원도래요,감자탕,0.54,0.0015455950540958269,053-852-8494,경북 경산시 하양읍 대학로298길 19 1층,19,2
서부장연평도해물찜,"해물,생선",1.0,0.00463678516228748,053-853-6048,경북 경산시 하양읍 하양로25길 5-1,209,71
차돌풍 경산하양점,"육류,고기",0.7,0.03863987635239567,053-852-9293,경북 경산시 하양읍 하양역길 20 1층,365,42
발리다포차 경산하양점,"호프,요리주점",0.7,0.04791344667697063,010-5820-0114,"경북 경산시 하양읍 서사도리7로 21 SG타워 111,112호",162,74
컴포즈커피 경산하양우미린점,커피전문점,0.2,0.00927357032457496,070-7717-7544,경북 경산시 하양읍 서사도리4로 5 1층 102호,398,63
골목숯불뒷고기,한식,1.0,0.0015455950540958269,053-854-9006,경북 경산시 진량읍 공단2로7길 8 1층,30,68
가야 청국장,한식,0.72,0.01854714064914992,053-854-7711,경북 경산시 하양읍 대학로 1517-9,13,68
신대게 하양점,"게,대게",1.0,0.0030911901081916537,010-7733-7519,경북 경산시 하양읍 하양로 83,243,3
발리다포차 경산하양점,"호프,요리주점",0.7,0.04791344667697063,010-5820-0114,"경북 경산시 하양읍 서사도리7로 21 SG타워 111,112호",162,74
텐퍼센트커피 경산하양점,커피전문점,1.0,0.0015455950540958269,053-213-0815,경북 경산시 하양읍 하양로 55 1층,409,63
구포국수 하양본점,아시아/퓨전,0.72,0.023183925811437404,053-857-0606,경북 경산시 하양읍 하양로33길 3 1층,38,36
차이나타운,중국요리,0.6799999999999999,0.04945904173106646,,경북 경산시 하양읍 하양로 218 1층,366,53
BBQ 경산무학점,치킨,1.0,0.0030911901081916537,053-856-3816,경북 경산시 하양읍 서사도리7로 21 SG타워 1층 113호,5,59
쉬다가게,카페,1.0,0.00463678516228748,,경북 경산시 진량읍 버티미길 74 1층,228,60
술닭 하양점,술집,1.0,0.00463678516228748,053-851-7704,경북 경산시 하양읍 대학로305길 51-2 1층,226,33
삼송꾼만두 하양점,분식,1.0,0.012364760432766615,053-854-8806,경북 경산시 하양읍 대학로298길 22,204,25
이유있는감자탕 하양점,한식,0.96,0.06646058732612056,,경북 경산시 하양읍 대경로 865,319,68
뚝배기일번지,해장국,0.8,0.0015455950540958269,0507-1864-5659,경북 경산시 하양읍 하양로 173,112,72
쏠크,카페,1.0,0.0030911901081916537,053-856-5977,경북 경산시 진량읍 봉황길 75,253,60
이상한키친,피자,1.0,0.03400309119010819,,경북 경산시 하양읍 문화로 10 1층,318,67
장수오리 하양점,한식,1.0,0.017001545595054096,,경북 경산시 진량읍 대학로 1430,334,68
해금강복어,한식,1.0,0.0030911901081916537,053-856-8483,경북 경산시 하양읍 조산천동길 12,452,68
막창도둑 하양점,"곱창,막창",0.2,0.0077279752704791345,053-856-7767,경북 경산시 하양읍 조산천동길 22 1층,131,5
차이나타운,중식,0.6799999999999999,0.04945904173106646,,경북 경산시 하양읍 하양로 218 1층,366,54
테이큰스시,"초밥,롤",0.6,0.013910355486862442,,경북 경산시 하양읍 서사도리로 71 경산하양 우미린 에코포레 상가2동 102호,408,57
교동면옥 하양점,한식,0.9199999999999999,0.09119010819165378,053-854-7222,경북 경산시 하양읍 하양로 202-9 1층,34,68
청명식육식당,"육류,고기",0.74,0.010819165378670788,053-267-1300,"경북 경산시 하양읍 조산천동길 10 1,2층",371,42
오늘도술이달다,한식,1.0,0.0030911901081916537,,경북 경산시 진량읍 공단로 469,278,68
한우99갈비,갈비,0.3,0.0030911901081916537,053-851-8044,경북 경산시 진량읍 공단2로9길 19,448,1
왕곱배기냉면 진량점,냉면,0.8,0.013910355486862442,053-853-8188,경북 경산시 진량읍 다문로 64-1 1층,294,11
나잇앤데이,카페,0.8800000000000001,0.013910355486862442,,경북 경산시 진량읍 대구대로 214,55,60
장수삼계탕,삼계탕,0.7,0.0015455950540958269,053-852-8058,경북 경산시 진량읍 낙산길 54,333,28
여부초밥 하양직영점,"초밥,롤",0.86,0.0015455950540958269,053-854-0998,경북 경산시 하양읍 대경로147길 8,270,57
대패생각 하양점,한식,1.0,0.42967542503863987,053-856-0045,경북 경산시 하양읍 하양로37길 8,84,68
안동하회마을,한식,0.74,0.0015455950540958269,053-856-1999,경북 경산시 진량읍 대구대로 248,259,68
역전할머니맥주 경산하양점,"호프,요리주점",1.0,0.0030911901081916537,053-213-8993,경북 경산시 하양읍 하양로 23,273,74
바른치킨 경산하양점,치킨,1.0,0.0030911901081916537,053-851-9993,경북 경산시 하양읍 하양역길 18 1층,160,59
섬섬밀밀,카페/디저트,0.6,0.1437403400309119,053-852-3301,경북 경산시 진량읍 대구대로 346,216,61
타코베어,카페/디저트,0.9400000000000001,0.0030911901081916537,,경북 경산시 진량읍 대구대로 230 F동 102호,404,61
수연식당,한식,0.9,0.015455950540958269,010-7189-9540,경북 경산시 하양읍 무학로3길 5,224,68
